creator_name,platform,video_title_or_topic,source_url,transcript,views,likes,comments,shares,posting_date,niche,target_audience,opening_hook,cta,tone,credibility_markers,performance_notes,inferred_intent_match,likely_audience_segment_attracted,buyer_value,buyer_value_rationale,recruiter_value,recruiter_value_rationale,authority_signal,authority_signal_rationale,saturation_risk,saturation_risk_rationale,differentiation_potential,differentiation_potential_rationale,observation_vs_inference,needs_review,confidence_score
DryRun Creator,youtube,Dry run candidate for legal operations workflow,https://example.com/dry-run,,,,,,,legal ops,,Dry run candidate for legal operations workflow,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for contract lifecycle bottlenecks,https://example.com/dry-run,,,,,,,legal ops,,Dry run candidate for contract lifecycle bottlenecks,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for legal ops dashboard,https://example.com/dry-run,,,,,,,legal ops,,Dry run candidate for legal ops dashboard,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for GRC operating model,https://example.com/dry-run,,,,,,,grc,,Dry run candidate for GRC operating model,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for risk and compliance process improvement,https://example.com/dry-run,,,,,,,grc,,Dry run candidate for risk and compliance process improvement,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for governance risk compliance metrics,https://example.com/dry-run,,,,,,,grc,,Dry run candidate for governance risk compliance metrics,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for AI governance framework,https://example.com/dry-run,,,,,,,ai governance,,Dry run candidate for AI governance framework,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for enterprise AI risk controls,https://example.com/dry-run,,,,,,,ai governance,,Dry run candidate for enterprise AI risk controls,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for AI policy implementation,https://example.com/dry-run,,,,,,,ai governance,,Dry run candidate for AI policy implementation,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for operations leadership systems,https://example.com/dry-run,,,,,,,operations leadership,,Dry run candidate for operations leadership systems,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for workflow integrity,https://example.com/dry-run,,,,,,,operations leadership,,Dry run candidate for workflow integrity,,,,,,,,,,,,,,,,,observation,yes,0.70
DryRun Creator,youtube,Dry run candidate for business systems strategy,https://example.com/dry-run,,,,,,,operations leadership,,Dry run candidate for business systems strategy,,,,,,,,,,,,,,,,,observation,yes,0.70
