Company,Website,LinkedIn (public),LinkedIn,Industry,Est. employee range,Employee range,Why it fits,Trigger event,Public trigger signal,Public trigger signal(s),Trigger signal,Likely immigration need,Likely visa/compliance need,Likely decision-maker title,Likely buyer,Procurement risk,Score /100,Score,Heat,Confidence,_source
**BuildOps**,https://buildops.com/,https://www.linkedin.com/company/buildops,,Construction tech (commercial contractors SaaS),~201–500,,Tier 1 IT + specialty construction adjacency; scaling from startup to unicorn,,,Series C $127M (2025) and announced Raleigh expansion (~290 jobs),,H-1B for product/engineering; PERM for retention; I-9 process maturity,,CPO / VP Talent / COO,,Medium,90,,**Hot**,High,intel_leads_report.md
**Exodigo**,https://www.exodigo.com/,https://www.linkedin.com/company/exodigo,,Subsurface imaging AI (infrastructure/engineering),201–500,,Infrastructure + hard-to-fill AI talent; cross-border org structure,,,$96M Series B (2025); U.S. + Israel operating footprint,,L-1 + H-1B + O-1 mix; PERM for key talent,,Head of People / VP HR / GC,,Medium,89,,**Hot**,High,intel_leads_report.md
**Crusoe**,https://crusoe.ai/,https://www.linkedin.com/company/crusoe,,AI infrastructure + energy-first data centers,"1,001–5,000",,Tier 1 IT/technology with energy project complexity,,,"$600M Series D (Dec 2024), $750M credit facility (2025), large Abilene TX campus activity",,H-1B + L-1 + PERM; I-9/worksite compliance at scale,,CPO / VP People / GC / VP Talent,,Medium-High,88,,**Hot**,High,intel_leads_report.md
**XNRGY Climate Systems**,https://xnrgy.com/,https://www.linkedin.com/company/xnrgy-climate-systems,,HVAC manufacturing / thermal systems,"~500–1,500",,Tier 2 manufacturing with cross-border growth into U.S.,,,"Mesa facility opening (2025), prior U.S. HQ/jobs announcement, Mesa 2 expansion",,TN/L-1 for Canada-U.S.; H-1B for controls/manufacturing engineering; I-9 scaling,,VP HR / Head of U.S. Ops,,Medium,87,,**Hot**,High,intel_leads_report.md
**Gecko Robotics**,https://www.geckorobotics.com/,https://www.linkedin.com/company/geckorobotics,,Industrial AI/robotics,201–500,,IT + industrial infrastructure relevance; scarce specialist hiring,,,$125M Series D (2025); defense/energy partnership momentum,,H-1B for robotics/AI; O-1 for niche experts; PERM retention,,VP People / CHRO / GC,,Medium,86,,**Hot**,High,intel_leads_report.md
**Fervo Energy**,https://www.fervoenergy.com/,https://www.linkedin.com/company/fervo-energy,,Geothermal energy,~200–500,,Energy transition + oil/gas transferable skill demand,,,$244M funding context and major project scale-up in Utah,,H-1B/TN for engineering & subsurface roles; PERM for continuity,,VP HR / Head of People / VP Ops,,Medium,85,,**Hot**,Medium-High,intel_leads_report.md
**Kojo (usekojo)**,https://www.usekojo.com/,https://www.linkedin.com/company/usekojo,,Construction procurement software,~100–300,,Specialty construction tech with scaling-stage org,,,Series C extension (2025) + strategic distribution partnership,,H-1B for product/engineering; early-stage immigration policy design,,VP People / Head of Talent / COO,,Low-Medium,84,,**Hot**,Medium,intel_leads_report.md
**PlanRadar**,https://www.planradar.com/us/,https://www.linkedin.com/company/planradar,,Construction/real estate SaaS,201–500,,Global contech with explicit U.S. growth motion,,,Company notes 400+ employees across 16 locations and U.S. expansion focus,,L-1 for transfers; H-1B/TN for U.S. growth roles,,Head of U.S. Ops / VP People,,Medium,81,,**Warm**,High,intel_leads_report.md
**Form Energy**,https://formenergy.com/,https://www.linkedin.com/company/form-energy,,Grid-scale battery manufacturing,"~500–1,500",,Manufacturing + R&D growth requiring technical talent depth,,,$405M financing (2024) tied to factory acceleration,,H-1B/TN for manufacturing engineering; PERM; I-9 at scale,,VP People / HR Director Manufacturing,,Medium,80,,**Warm**,Medium,intel_leads_report.md
**EquipmentShare**,https://www.equipmentshare.com/,https://www.linkedin.com/company/equipmentshare,,Construction equipment + jobsite tech,"5,000+",,Specialty construction relevance and broad multi-site operations,,,State expansion and branch growth announcements,,I-9/worksite compliance architecture; selected H-1B/TN for tech roles,,CHRO / VP HR Ops / Deputy GC Employment,,High,72,,**Warm**,Medium,intel_leads_report.md
OpenSpace,https://www.openspace.ai/,,https://www.linkedin.com/company/openspace.ai,Construction AI / software,201–500,,Strong specialty-construction + AI fit; growth-stage platform selling to major builders,,LinkedIn shows 201–500; ongoing product expansion and job openings on LinkedIn/company channels,,,"H-1B (AI/CV/software), PERM for core engineering retention",,VP Talent Acquisition / Head of People,,Medium,,88,Hot,High,intel_leads_batch2.md
Dusty Robotics,https://dustyrobotics.com,,https://www.linkedin.com/company/dusty-robotics,Construction robotics,51–200,,Tier 1 specialty-construction fit with hardware + field deployment talent needs,,LinkedIn shows 51–200; company reports Series B funding history and active hiring visibility,,,H-1B for robotics/controls; O-1 for niche robotics specialists; I-9/worksite controls,,Head of People / COO,,Low-Med,,87,Hot,High,intel_leads_batch2.md
Versatile,https://www.versatile.ai,,https://www.linkedin.com/company/versatileai,Construction analytics / software,51–200,,ConTech + project-execution analytics with international jobsite activity,,LinkedIn (public mirror) shows 51–200 and active updates tied to steel/data-center jobsite execution,,,H-1B for software/data; L-1/TN for cross-border deployments,,VP People / VP Operations,,Medium,,85,Hot,High,intel_leads_batch2.md
Trunk Tools,https://trunktools.com,,https://www.linkedin.com/company/trunk-tools,AI for construction workflows,~50–200,,Specialty construction + IT with clear scaling profile,,Public funding: Series A (2024) + Series B (2025); job posts indicate rapid team growth,,,H-1B for product/ML/software; PERM for key engineering continuity,,Head of Talent / CEO (growth-stage),,Low-Med,,90,Hot,High,intel_leads_batch2.md
Veev (by Lennar),https://www.veev.com,,https://www.linkedin.com/company/veevbylennar,Offsite construction / proptech,201–500,,Specialty construction manufacturing model with scaled build operations,,LinkedIn shows 201–500 and integration with large parent while maintaining startup operating tempo,,,H-1B for software/manufacturing tech; L-1 where global talent is used; I-9 for multi-site ops,,COO / VP HR / GC,,Medium-High,,82,Warm,Medium-High,intel_leads_batch2.md
Ambyint,https://www.ambyint.com,,https://www.linkedin.com/company/ambyint,Oil & Gas AI / production optimization,51–200,,Direct Tier 1 oil & gas fit; technical AI + engineering mix,,"LinkedIn shows 51–200, Houston+Calgary footprint, and active hiring posts",,,TN/L-1 for Canada-U.S. mobility; H-1B for AI/data engineering; PERM,,VP HR / Director Talent,,Medium,,91,Hot,High,intel_leads_batch2.md
Validere,https://www.validere.com,,https://www.linkedin.com/company/validere,Energy technology (oil/gas + compliance data),51–200,,Tier 1 oil/gas-adjacent tech + compliance complexity,,"LinkedIn shows 51–200, offices in Houston/Calgary/Toronto, and active hiring posts",,,TN/L-1 cross-border transfers; H-1B for data/software roles; compliance advisory,,VP People / GC / Head of Compliance Ops,,Medium,,89,Hot,High,intel_leads_batch2.md
Forge Nano,https://www.forgenano.com,,https://www.linkedin.com/company/forgenano,Battery / advanced manufacturing,~200–500 (inferred),,Tier 2 manufacturing + engineering with major U.S. scaling signals,,Company announced $40M new funding (Apr 2025); public reports of NC expansion and hiring plans,,,H-1B for materials/process engineers; TN for Canadian talent; PERM for advanced manufacturing roles,,VP HR / VP Operations,,Medium,,84,Warm,Medium,intel_leads_batch2.md
Zap Energy,https://www.zap.energy,,https://www.linkedin.com/company/zap-energy,Fusion energy / hardware,51–200,,Tier 2 renewable/advanced energy with deep-tech hiring,,LinkedIn shows 51–200 and ongoing hiring visibility in engineering/R&D channels,,,H-1B for plasma/power systems engineers; O-1 for distinguished specialists,,Head of Talent / CTO / COO,,Medium,,83,Warm,Medium-High,intel_leads_batch2.md
Helion Energy,https://www.helionenergy.com,,https://www.linkedin.com/company/helion-energy,Fusion energy,"~500–1,000 (inferred)",,Renewable energy + highly specialized technical workforce,,Public funding updates (Series F in 2025) and ongoing commercialization milestones,,,H-1B/O-1 for advanced physics/engineering; PERM for long-term retention,,VP People / GC / COO,,Medium-High,,86,Hot,Medium-High,intel_leads_batch2.md
Commonwealth Fusion Systems,https://www.cfs.energy,,https://www.linkedin.com/company/commonwealth-fusion-systems,Fusion energy / engineering,"~500–1,500 (inferred)",,Engineering-heavy growth with multi-party public project announcements,,Public updates on commercial project development and major partnerships (2024–2026),,,H-1B/O-1 for fusion/HTS talent; PERM for senior engineering roles; compliance architecture,,GC / VP HR / COO,,High,,81,Warm,Medium,intel_leads_batch2.md
CarbonQuest,https://www.carbonquest.com,,https://www.linkedin.com/company/carbonquestq,Climate technology / carbon capture,11–50,,Smaller but funded/scaling climate-tech with U.S./Canada activity,,LinkedIn shows 11–50 and public post referencing first Canada project + technology expansion,,,TN/L-1 for cross-border technical staff; selective H-1B for specialists,,Founder/CEO / Head of People (if present),,Low,,76,Warm,Medium,intel_leads_batch2.md
**Saronic Technologies**,https://www.saronic.com/,,,Maritime autonomy / defense tech,,"~500–1,500 (inferred)",Hypergrowth IT/manufacturing employer with large-scale buildout and technical hiring pressure,"Closed **$1.75B Series D** (Mar 31, 2026) and announced Port Alpha + shipyard expansion",,,,,"H-1B/O-1 for autonomy, controls, AI talent; PERM for retention; worksite/I-9 scale controls",GC / VP People / COO,,High,90,,Hot,High,intel_leads_batch3.md
